golden_id,dyad_id,target_tweet_id,target_text,prior_context,subsequent_customer_context,rule_hint,human_intent,human_secondary_intent,human_confidence,human_notes,taxonomy_issue,adjudication_status
G011,VT-1328930-430058,1328932,@VirginTrains can you tell me what travel times a super off peak is valid for please,,"[C Fri Oct 27 12:37:24 +0000 2017] @VirginTrains I have a super off peak return, if I am unable to get these trains due to the London issues will I be able to get another train? https://t.co/dyWUkVdqyV",ticket_acceptance,ticket_acceptance,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G012,VT-553019-250613,553075,"@VirginTrains If trains aren't running as normal, can I use my ticket to Manchester on any other route? Was due to leave London at 1.17. If trains are running, is my seat guaranteed?",,[C Sun Dec 03 08:39:40 +0000 2017] @VirginTrains @122155 Are there any updates on the 1.17pm train? Shall I go STP via Sheffield? || [C Sun Dec 03 09:56:41 +0000 2017] @VirginTrains @122155 Hello? Is the 1.17 train to Manchester running?,ticket_acceptance,ticket_acceptance,live_departure_info,high,[ADJUDICATED] Main ask is using ticket on other route; seat question secondary.,none,adjudicated
G013,VT-531892-243225,531894,With the disruption today are you allowed to use your virgin tickets on a northern rail service between Stoke and Manchester @VirginTrains ?,,[C Sat Dec 02 10:46:37 +0000 2017] @VirginTrains Brill! Thanks ☺☺,ticket_acceptance,ticket_acceptance,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G014,VT-1692085-227863,1692094,Got a through ticket from Milton Keynes to Rochdale. Unclear if valid on @513596 and @VirginTrains staff don’t know! https://t.co/O3FquRvRhN,,"[C Mon Nov 06 17:25:12 +0000 2017] @VirginTrains @513596 Hi, yes, I did (via the Virgin Trains website) || [C Mon Nov 06 17:33:12 +0000 2017] @513596 @VirginTrains That’s good to know for future reference. Thank you both!",ticket_acceptance,ticket_acceptance,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G015,VT-1035345-364901,1035348,@VirginTrains please could you contact your abrupt staff at crewe station to advise them this is not acceptable behaviour in from of my little grandson.,,[C Sat Nov 25 11:17:28 +0000 2017] @VirginTrains This does not rectify that my pregnant daughter and 4yr old grandson have not even been offer a warm room to sit in and wait,ticket_acceptance,onboard_experience,,medium,[ADJUDICATED] Abrupt station-staff conduct report (Crewe) with follow-up on waiting facilities for pregnant daughter/grandson. Concrete staff/facilities issue beats tone; cf. G063/G194.,none,adjudicated
G016,VT-1316051-427439,1316053,@VirginTrains any update on which other train companies will accept your tickets so I can get from Coventry to Wembley,,[C Fri Oct 27 07:46:49 +0000 2017] @VirginTrains Are services running from nuneaton to London || [C Fri Oct 27 07:51:34 +0000 2017] @VirginTrains Will my first class virgin ticket still be valid on this line,ticket_acceptance,ticket_acceptance,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G017,VT-1440533-306408,1440535,"Off peak: choose your train company to get cheaper tickets Peak: no choice, 1 ticket all trains. @LondonMidland @VirginTrains #bloodsuckers",,"[C Thu Nov 02 11:51:39 +0000 2017] @LondonMidland Nah. You're all a joke. Us commuters put millions in yet get the shitter offers to accommodate cheaper tickets for the off peak travellers! || [C Thu Nov 02 11:52:51 +0000 2017] @LondonMidland @VirginTrains And we get what in return?! A fecking ticket price rise!!!!!!!!! For no better service or extra trains. Yea grreeeeaaatttt 👍🏽 || [C Thu Nov 02 12:10:51 +0000 2017] @VirginTrains @LondonMidland Open return: Off peak can choose VT, LM only tickets for cheaper price or go for any train. Peak tickets are All trains only. || [C Thu Nov 02 12:12:14 +0000 2017] @VirginTrains @LondonMidland Many other commuter lines get this option going into London, we don't on the west coast. We only get the option if we are commuting north || [C Thu Nov 02 12:17:51 +0000 2017] @VirginTrains @LondonMidland You cannot get a PEAK day ticket for LM ONLY MK-EUS ",ticket_acceptance,general_feedback,,high,"[ADJUDICATED] Fare-structure vent, rhetorical, no question.",none,adjudicated
G018,VT-1035293-364895,1035298,@121513 @122784 my first train was cancelled and now the next one is delayed by 23minutes meaning I will miss my prebooked train to Manchester? Will my ticket not be valid if I miss my train? @VirginTrains,,"[C Sat Nov 25 11:24:33 +0000 2017] @VirginTrains @121513 @122784 It's not, it's a specific train from Euston to Manchester :/ || [C Sat Nov 25 11:26:36 +0000 2017] @VirginTrains @121513 @122784 Does that mean I lose out on my money for my ticket?",delay_status;cancellation_status;live_departure_info;ticket_acceptance,ticket_acceptance,cancellation_status,high,[ADJUDICATED] Explicit ask is ticket validity after missed connection.,none,adjudicated
G019,VT-1274376-418302,1274380,Hey @VirginTrains. WiFi login page not working on the 16:00 GLA-EUS Service. Stuck on the t’s &amp; c’s page. Accept button not working.,,[C Thu Oct 26 15:20:25 +0000 2017] @VirginTrains  https://t.co/HGwJ2fOTXi || [C Thu Oct 26 15:22:40 +0000 2017] @VirginTrains Hit ‘Accept’ on terms page and it just refreshes.,ticket_acceptance;onboard_experience,onboard_experience,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G020,VT-1555100-141656,1555103,"@VirginTrains Pretty sure bye-laws require reservations to be displayed to be valid, if it doesn't download when train boarding, why bother?",,"[C Sat Nov 04 11:56:11 +0000 2017] @VirginTrains Causes so much embarrassment &amp; frustration for your passengers, empty reserved seats and being asked to move in one that does not say || [C Sat Nov 04 17:37:43 +0000 2017] @VirginTrains This one was 1903 Euston dep Friday but pretty regular occurrence. If it ain't downloaded at boarding, shelve it.",ticket_acceptance;booking_ticket_issue,booking_ticket_issue,,medium,[ADJUDICATED] Reservation display/download complaint; implicit ask.,none,adjudicated
G021,VT-2941580-246797,2941587,"The one time I upgrade my train ticket to first class to get some work done, broken signals mean I can't get my specified @VirginTrains 😢😡as the replacement @120244 (fab staff BTW) prob can't get to Llandudno In time 😬",,"[C Wed Nov 29 13:46:51 +0000 2017] @VirginTrains @120244 Was due ob the 1320 out of Bangor to Euston. Arriva train they popped us on only just passed thru Conwy so I'm assuming your train will have left Llandudno Jcn by now? || [C Wed Nov 29 13:52:25 +0000 2017] @VirginTrains @120244 Got it, but now on wrong half of train I think || [C Wed Nov 29 14:05:23 +0000 2017] @VirginTrains @120244 Found it by wondering the train! 👍🏼 thanks for your help",rebooking_alternative_route;booking_ticket_issue,general_feedback,,medium,"[ADJUDICATED] Disruption vent, no explicit ask despite upgrade mention.",none,adjudicated
G022,VT-1878745-234351,1878748,"@virgintrains thanks a bunch once again for your appalling service. Have to wait at least 20 minutes in shitty Birmingham until my next train home. How's about do track inspections during the daytime, where shock horror, people aren't commuting back from work 🙄",,[C Thu Nov 30 20:10:31 +0000 2017] @VirginTrains But wouldn't it be logically to do these tests frequently AND during a less busy time cause this is just causing disruption to everyone.,rebooking_alternative_route;general_feedback,general_feedback,,high,"[ADJUDICATED] Sarcastic vent, rhetorical suggestion only.",none,adjudicated
G023,VT-509166-233920,509168,"slowly losing my mind on this increasingly delayed @VirginTrains service. So much so I’ve turned the WiFi off because there’s no connection, so now I’ll smash my 4G instead of a large gin. A rock and roll Friday night 🕺🏼🤦🏼‍♀️ https://t.co/1SnG9Deyo5",,[C Fri Dec 01 22:28:49 +0000 2017] @VirginTrains my live update is a carriage full of knackered humans waiting to get off at Lancaster but we are at a standstill. Again. https://t.co/65bnbwOoHs,delay_status;rebooking_alternative_route;onboard_experience,delay_status,,medium,[ADJUDICATED] Established-delay report; wifi mention is incidental joke material.,none,adjudicated
G024,VT-605784-124070,605787,Hi @VirginTrains someone left their 1stclass ticket for the train I’m now on in the machine. Being a top bloke I fought off the idea of using it instead of my own cheap ticket and handed it in. Does Virgin reward this kind of Good Samaritan work with free upgrades on said train?,,[C Wed Nov 22 11:18:00 +0000 2017] @VirginTrains  https://t.co/x2gTvAJJMa || [C Wed Nov 22 11:19:45 +0000 2017] @VirginTrains I think it’s a little about rewards too. This train experience today is certainly making me question that moral judgement call 🤔,rebooking_alternative_route,booking_ticket_issue,,medium,[ADJUDICATED] Quirky upgrade/reward ask; purchase-policy bucket.,none,adjudicated
G025,VT-1506851-469729,1506853,@VirginTrains I’m going to miss my transfer for my next train as my train is 30mins delayed. Where do I go for help?,,"[C Fri Nov 03 13:26:26 +0000 2017] @VirginTrains I’m changing at Edinburgh and going to Dundee. I’m getting on the 12:57 from Morpeth to Edinburgh which is 35mins late || [C Fri Nov 03 13:35:18 +0000 2017] @VirginTrains @120576 Ok, thank you",delay_status;rebooking_alternative_route,rebooking_alternative_route,delay_status,high,[ADJUDICATED] Ask is help with missed connection.,none,adjudicated
G026,VT-1550695-416002,1550697,@VirginTrains 19:17 EUS to MAN shows delayed. Please could you let me know why and how long? Can I take the earlier train instead?,,[C Sun Nov 19 21:08:16 +0000 2017] @VirginTrains Thanks. Train late to start with. 1st class service equals to 0. Only snacks and a lukewarm drink and no picnic tray so far. The service assistant Lindsey asked me to walk to coach C to buy myself a coke when I asked for one.could you tell me how I request refund and complaint??,delay_status;rebooking_alternative_route,rebooking_alternative_route,delay_status,high,"[ADJUDICATED] Two asks; journey change is the action, delay info background.",none,adjudicated
G027,VT-636196-147368,636202,@VirginTrains @120870 Do you know when the replacement buses will be arriving?,,[C Wed Nov 22 21:36:52 +0000 2017] @VirginTrains @120870 thank you.,rebooking_alternative_route,rebooking_alternative_route,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G028,VT-413872-213759,413874,"@virgintrains 
 I'm now standing and the staff haven't looked into alternative seats for me. The lady at the buffet has been understanding but there is nothing she can do and the train manager hasn't come down yet. 3/3",,[C Fri Nov 17 20:34:10 +0000 2017] @VirginTrains I've reported on there thanks for the link. 90 mins standing already and 30 mins to continue standing. Entirely due to virgin trains. I'm so angry.,rebooking_alternative_route,onboard_experience,,medium,[ADJUDICATED] Standing + no alternative seats found by staff (3/3); follow-up confirms 90+ min standing. Concrete seating issue beats tone; cf. G076/G120/G169.,none,adjudicated
G029,VT-2531496-720508,2531498,@VirginTrains disappointed again another train journey from Runcorn - London this morning and card machine not working. In need of a coffee.,,"[C Tue Oct 31 08:08:12 +0000 2017] @VirginTrains The announcement on the train was that it was cash only payments as card machine was broken, that was for the whole journey.",rebooking_alternative_route;onboard_experience,onboard_experience,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G030,VT-579602-256505,579614,"@VirginTrains I had tickets for the 9:13 CRE-EUS, but because I needed to be in London before 12:30, I had to drive instead. Tickets ordered online but not printed. How do I stand about getting a refund?",,"[C Sun Dec 03 11:10:00 +0000 2017] @VirginTrains Problem was that tickets were ordered on @120576 website. || [C Sun Dec 03 11:57:23 +0000 2017] @256506 @VirginTrains @120576 This has nothing to do with Branston. He only runs the trains, @115793 take care of the track and the overhead wires.",rebooking_alternative_route;refund_delay_repay,refund_delay_repay,booking_ticket_issue,high,[ADJUDICATED] Explicit refund ask; unprinted online tickets background.,none,adjudicated
G031,VT-1512454-138046,1512461,@VirginTrains is there ever a week without delays?! Why is the 17.41 from MK to Chester cancelled?,,[C Fri Nov 03 17:57:58 +0000 2017] @VirginTrains 18.41? Any delays due for this one? || [C Fri Nov 03 18:00:44 +0000 2017] @VirginTrains Great. Only a 40 min wait || [C Fri Nov 03 18:55:39 +0000 2017] @VirginTrains This train is now delayed by 30 min - what is going on? I was meant to be home in 20 min and still haven't even left Milton keynes,delay_status;cancellation_status,cancellation_status,,high,[ADJUDICATED] Explicit why-cancelled ask; delay line rhetorical.,none,adjudicated
G032,VT-1937451-576368,1937454,I love it when @VirginTrains cancel my trains twice in one day. I’m now going to miss my circuits class which I was looking forward to ☹️,,"[C Wed Oct 18 16:05:19 +0000 2017] @VirginTrains St Neots to Leeds. || [C Wed Oct 18 16:05:39 +0000 2017] @VirginTrains And return. || [C Wed Oct 18 16:10:42 +0000 2017] @VirginTrains @120576 Unless they can get me back to St Neots by 6.50pm in time for my class, there’s not a lot they can do to help - it’s very frustrating! || [C Wed Oct 18 16:11:04 +0000 2017] @VirginTrains @120576 I seem to have this problem a lot on this service...",cancellation_status,cancellation_status,,medium,"[ADJUDICATED] Sarcastic but specific cancellation report, no ask.",none,adjudicated
G033,VT-94386-136494,94388,"@VirginTrains Hello friends! Like a fool, I booked a train from LDN Euston to Liverpool Lime St on Fri 22nd Dec... is this bad boy going to be cancelled? (Please say no!) x",,[C Thu Nov 30 16:36:46 +0000 2017] @VirginTrains Thank you!,cancellation_status;booking_ticket_issue,cancellation_status,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G034,VT-98343-137501,98348,@VirginTrains hi there has the 17:58 to London Euston been cancelled from Preston?,,"[C Thu Nov 30 16:42:28 +0000 2017] @VirginTrains Cool, my ticket is actually 17:37 from Lancaster so take it I can get another train from Lancaster and pick up the 17:58? || [C Thu Nov 30 16:50:02 +0000 2017] @VirginTrains Cheers HP",cancellation_status,cancellation_status,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G035,VT-1619173-337276,1619175,Started running for my train like @VirginTrains then realised it was cancelled 😫 https://t.co/HkV8tb96No,,[C Sun Nov 05 16:24:36 +0000 2017] @VirginTrains You guys are on the ball! https://t.co/LHy5OApYhz,cancellation_status,cancellation_status,,medium,"[ADJUDICATED] Cancellation report with photo, no ask.",none,adjudicated
G036,VT-1712071-518588,1712077,"@VirginTrains hi, I’m currently on the delayed 1600 train from Glasgow to Birmingham new street. Why is no one telling us it’s cancelled?? https://t.co/LMaY4GfnGj",,"[C Tue Oct 17 17:53:58 +0000 2017] @VirginTrains This doesn’t help me get to Birmingham.... || [C Tue Oct 17 17:54:26 +0000 2017] @VirginTrains No one on the actual train has said a word about this yet || [C Tue Oct 17 17:56:59 +0000 2017] @VirginTrains The train manager has just advised people to get off at Birmingham new street to connect to other stations... mixed messages going on || [C Tue Oct 17 17:58:29 +0000 2017] @VirginTrains Again, this won’t help me get to Birmingham... can you please advise what I should do? 🤦🏻‍♀️",delay_status;cancellation_status,cancellation_status,delay_status,high,[ADJUDICATED] Ask is whether service is cancelled; delay background.,none,adjudicated
G037,VT-2785207-777656,2785209,Not impressed @VirginTrains 20:33 from Birmingham international should have gone to Wolverhampton but terminated at new street!!! NOT IMPRESSED AT ALL!!!,,[C Thu Nov 30 22:00:41 +0000 2017] @VirginTrains Yes eventually but home an hour later than I expected to be and back up in 6 hours! Why was Wolverhampton on the board if it was terminating though? Even asked a member of staff.... 🤔🤔😕😕🙁🙁,cancellation_status,cancellation_status,,medium,"[ADJUDICATED] Early-termination report, no ask.",none,adjudicated
G038,VT-1636005-500414,1636007,@VirginTrains is there going to be a train tonight from Manchester to Euston? 😠,,[C Sun Nov 05 21:26:02 +0000 2017] @VirginTrains @66316  try and get this one,live_departure_info,live_departure_info,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G039,VT-102420-138491,102422,@VirginTrains does your 5.31pm service from #Coventry to #LondonEuston ever run on time???,,[C Thu Nov 30 17:54:17 +0000 2017] @VirginTrains I take it at least twice a week and not seen much proof of that!!!,live_departure_info,live_departure_info,,medium,[ADJUDICATED] Rhetorical punctuality question; no established delay.,none,adjudicated
G040,VT-1213825-405489,1213832,@VirginTrains Are trains ruining from Milton Keynes to Crewe.  And is there a way to get to Milton Keynes from London,,[C Wed Oct 25 17:17:06 +0000 2017] @VirginTrains Is euston still closed,live_departure_info,rebooking_alternative_route,live_departure_info,high,[ADJUDICATED] 'Way to get to MK' is the action; running-status background.,none,adjudicated
G041,VT-2450970-193046,2450972,Any chance of telling me what platform the 1728 to Glasgow is from Euston please @VirginTrains,,[C Sun Oct 29 17:10:42 +0000 2017] @VirginTrains Thanks anyway,live_departure_info,live_departure_info,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G042,VT-578242-234755,578244,@VirginTrains will the 18:09 Wigan to Euston run on time? Also will seats be declassified? I have a seat reserved,,"[C Sun Dec 03 10:57:51 +0000 2017] @VirginTrains Thanks, would my ticket be valid tomorrow if I decide not to travel today to avoid the chaos?",live_departure_info;booking_ticket_issue,live_departure_info,booking_ticket_issue,high,[ADJUDICATED] Main ask on-time running; seat question secondary.,none,adjudicated
G043,VT-2113476-120287,2113480,@VirginTrains 10  Minutes to get off the platform at Euston! Get a grip. You are delaying your own passengers on purpose!!! Idiots,,[C Wed Nov 08 16:17:52 +0000 2017] @VirginTrains 1430 ex BHM to EUS arrived platform 1. A full Pendolino exiting through 4 gates. Like the last 72 hours service have been great on the WCML || [C Wed Nov 08 16:30:33 +0000 2017] @VirginTrains Ta,delay_status;live_departure_info,general_feedback,,medium,"[ADJUDICATED] Boarding-process vent, no question.",none,adjudicated
G044,VT-1330465-299086,1330467,@VirginTrains - any idea if the 1351 from Coventry to Euston is likely to run and if so what time likely to depart - thanks,,[C Fri Oct 27 12:38:26 +0000 2017] @VirginTrains Thank you,live_departure_info;general_feedback,live_departure_info,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G045,VT-2954801-281429,2954804,@VirginTrains are Virgin trains on strike in December? If so how can I find out what dates? Thanks...,,[C Wed Nov 29 18:40:40 +0000 2017] @VirginTrains Thanks.... || [C Wed Nov 29 18:41:49 +0000 2017] @VirginTrains Sounds selfish but no strike on the days we're travelling so....phew :-),live_departure_info;general_feedback,live_departure_info,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G046,VT-593108-260407,593110,Can you answer if the planned train strike on December 15th is definitely going ahead @VirginTrains it affects my travel to Sheffield on that day. 😡,,"[C Sun Dec 03 17:35:29 +0000 2017] @VirginTrains Thanks for reply. It doesn't include info about my journey which is Glasgow to Preston, Preston to Manchester Piccadilly &amp; Manchester Piccadilly to Sheffield so i'm none the wiser. I don't want to have to find an alternative route as it's so much more expensive. || [C Sun Dec 03 18:14:38 +0000 2017] @VirginTrains Thank you. It still leaves me in a quandary though as to whether to look for another route now or just hold off and risk not getting on amother route as they're all booked up.",live_departure_info,live_departure_info,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G047,VT-2538768-626936,2538774,"@VirginTrains good morning, I wondered if you could shed some light on how long it will be before receiving a delay repay refund?",,[C Thu Nov 16 09:53:42 +0000 2017] @VirginTrains Either last Wednesday evening or Thursday morning || [C Thu Nov 16 10:08:56 +0000 2017] @VirginTrains And how long does it normally take to receive the refund?,delay_status;refund_delay_repay,refund_delay_repay,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G049,VT-1494972-467123,1494974,@VirginTrains Happy Fri-YAY! Could you please confirm how many days it takes for a refund to clear? Thank you! https://t.co/K89h5e4hBr,,[C Fri Nov 03 12:39:55 +0000 2017] @VirginTrains Thank you. I’ll keep an eye out for it.,refund_delay_repay;general_feedback,refund_delay_repay,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G050,VT-1227511-407960,1227513,@VirginTrains currently in Crewe and train delayed by an hour- booked via  @123241 - how do I get a refund?,,[C Wed Oct 25 19:49:28 +0000 2017] @VirginTrains @123241 Thank you,delay_status;refund_delay_repay;booking_ticket_issue,refund_delay_repay,delay_status,high,[ADJUDICATED] Explicit refund ask; delay background.,none,adjudicated
G051,VT-140212-147641,140215,@virgintrains got to station and ticket had not got to my mobile. Booking ref 2344491277. Had to buy another ticket. Can I have a refund? https://t.co/XaIoOO2no6,"[C Fri Nov 24 11:12:43 +0000 2017] @VirginTrains Perhaps there’s a misunderstanding. I had my phone with me, but the ticket had not downloaded, and I did try swiping down.",,refund_delay_repay;booking_ticket_issue,refund_delay_repay,booking_ticket_issue,high,[ADJUDICATED] Explicit refund ask; mobile-ticket failure background.,none,adjudicated
G052,VT-2749023-138294,2749025,"@VirginTrains My train was delayed by more than 2 hours at Bletchley on the 7th. I don't have the tickets but have all the booking info, am I still able to get a refund please?",,"[C Tue Nov 21 08:16:27 +0000 2017] @VirginTrains It was booked via ""Trainline Business"". I have the email confirmation and reference numbers etc. || [C Tue Nov 21 08:30:36 +0000 2017] @VirginTrains Thank you, shall give that a go 😊",delay_status;refund_delay_repay;booking_ticket_issue,refund_delay_repay,delay_status,high,[ADJUDICATED] Explicit refund ask; delay background.,none,adjudicated
G053,VT-2618632-467706,2618634,@VirginTrains Hi guys any update on my delay repay claim please. Put it in 5/11. Thanks.,,[C Fri Nov 17 14:43:49 +0000 2017] @VirginTrains That’s fine as long as it is. Took you longer than 28 days to give me a personal reply to my last complaint that’s all. Thanks.,delay_status;refund_delay_repay;general_feedback,refund_delay_repay,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G054,VT-1620903-496751,1620915,@VirginTrains If people abondon travel today do they get any compensation for incurred costs?,,"[C Sun Nov 05 16:44:35 +0000 2017] @VirginTrains Ok, i understand not much virgin can do! But if we claim ticket we can still travel tomorrow? For free? || [C Sun Nov 05 16:54:19 +0000 2017] @VirginTrains Ok, are the lines open again yet? Or still closed? Kust for some idea od timescale im booked on chester 1708 not showing cancelled?",refund_delay_repay,refund_delay_repay,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G055,VT-132627-145921,132634,@VirginTrains I applied for a delayrepay refund a month ago. Seems like a further delay.... how can I follow up please?,,[C Fri Nov 24 07:49:48 +0000 2017] @VirginTrains Hi. This was all I received. It was a first class ticket and my delay was around 3.5 hours on a “declassified” train. https://t.co/MW9cfB2OoE || [C Fri Nov 24 07:54:05 +0000 2017] @VirginTrains Thanks. Can I PM it to you? || [C Fri Nov 24 08:04:29 +0000 2017] @VirginTrains Thank you for resolving my query. Great service!,delay_status;refund_delay_repay,refund_delay_repay,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G056,VT-803429-311464,803431,"Paid £5 for wi-fi that doesn't work. Fantastic, thank you so much @VirginTrains",,"[C Thu Oct 12 16:46:56 +0000 2017] @VirginTrains Was unable to so much as load a single page in first two hours. Is now just painfully slow. Really poor for a paying service. || [C Thu Oct 12 16:50:38 +0000 2017] @VirginTrains I am yes, it's the 2pm Glasgow Central to London Euston service.",onboard_experience;general_feedback,onboard_experience,,medium,[ADJUDICATED] Sarcastic wifi complaint; concrete problem beats tone.,none,adjudicated
G057,VT-1292456-422242,1292460,"@VirginTrains hi, when do advance tickets for sat 6th/sun 7th jan go on sale? Thanks",,"[C Mon Oct 16 08:37:53 +0000 2017] @VirginTrains That’s great. Is there a time or should I just keep checking? || [C Mon Oct 16 08:39:53 +0000 2017] @VirginTrains No worries, I’ll keep an eye on it. Thanks.",general_feedback,booking_ticket_issue,,high,[ADJUDICATED] Confirmed on fresh review.,none,adjudicated
G058,VT-2557987-295580,2557992,@VirginTrains absolute joke booked an super off peak from mk to man - reserved seat 1650 got 1550 and been charged £46.20 on top of £192 and told even if I got my booked train would have been charged! Absolute rip off,,[C Thu Nov 16 16:28:06 +0000 2017] @VirginTrains 2341673408 || [C Thu Nov 16 16:29:29 +0000 2017] @VirginTrains either the website shouldn't be allowed to sell the tickets or your train managers need to know their route and what is a valid ticket || [C Thu Nov 16 16:40:22 +0000 2017] @726201 @VirginTrains need this to be resolved as currently booked on exact same trains next week so not wanting to go through the same inconvenience and expense (I thought £384 for 2 train journeys was enough) || [C Thu Nov 16 16:57:00 +0000 2017] @726201 @VirginTrains next time will have to have the meeting in Ibiza will be cheaper,booking_ticket_issue;general_feedback,refund_delay_repay,booking_ticket_issue,high,[ADJUDICATED] Fare/overcharge dispute is the ask; reservation story background.,none,adjudicated
